cluster_id,count,avg_engagement,avg_academic,avg_social_media,avg_recognition,cluster_name,sum_of_avg_scores,pct_engagement,pct_academic,pct_social_media,pct_recognition,bucket_pct_engagement,bucket_pct_academic,bucket_pct_social_media,bucket_pct_recognition
1,4577,1.7454730172602142,5.428883548175661,11.745684946471489,1.6386279222197946,Cluster 1: Low Activity Profile,20.558669434127157,8,26,57,8,2,7,10,2
2,880,12.378352272727271,7.130681818181818,17.377284090909093,37.975,Cluster 2: Recognition-Focused,74.86131818181818,17,10,23,51,18,9,15,52
3,314,14.55656050955414,50.82802547770701,22.688025477707008,23.32484076433121,Cluster 3: Academic-Focused,111.39745222929938,13,46,20,21,21,68,20,32
4,1036,13.980299227799227,6.307915057915058,48.21883204633205,7.05984555984556,Cluster 4: Social Media-Focused,75.56689189189188,19,8,64,9,20,8,43,10
5,3193,27.684910742248668,5.572189163795803,12.296320075164422,2.3767616661446915,Cluster 5: Moderate Engagement,47.93018164735359,58,12,26,5,39,7,11,3
