cluster_id,count,avg_engagement,avg_academic,avg_social_media,avg_recognition,cluster_name,sum_of_avg_scores,pct_engagement,pct_academic,pct_social_media,pct_recognition,bucket_pct_engagement,bucket_pct_academic,bucket_pct_social_media,bucket_pct_recognition
1,4293,1.3048567435359888,10.368040996971814,11.649196366177499,1.1455858374097367,Cluster 1: Low Activity Profile,24.46767994409504,5,42,48,5,2,9,9,1
2,1031,14.226576139670222,11.19301648884578,48.14599418040738,6.844810863239573,Cluster 2: Social Media-Focused,80.41039767216294,18,14,60,9,17,10,36,6
3,3202,27.593941286695816,10.574640849469082,12.274072454715803,1.5765146783260462,Cluster 3: Moderate Engagement,52.019169269206756,53,20,24,3,33,9,9,1
4,313,14.658434504792332,55.94249201277955,22.931693290734827,21.74121405750799,Cluster 4: Academic-Focused,115.2738338658147,13,49,20,19,18,49,17,20
5,822,13.20485401459854,11.739659367396595,13.503649635036496,24.49391727493917,Cluster 5: Moderate Recognition,62.942080291970804,21,19,21,39,16,10,10,23
6,339,12.38268436578171,13.746312684365781,24.086106194690263,52.41297935103245,Cluster 6: Recognition-Focused,102.6280825958702,12,13,23,51,15,12,18,48
