uin,award_name,awarded_by,award_year,award_country,award_level,award_source_url_1,award_source_url_2,award_source_url_3,award_processed_date_timestamp,award_inserted_date_timestamp,award_updated_timestamp,award_delete_flag_timestamp
DL020495,,,,,,,,,,,,
DL020712,,,,,,,,,,,,
DL020775,Felicitated As Speaker In Various Conferences,,,India,National,https://www.practo.com/delhi/doctor/richa-chaturvedi-endocrinologist,,,2025-03-31 16:56:30,2025-03-31 16:56:30,,
DL020775,Publications In Various Journals Including – NEJM,,,India,National,https://www.practo.com/delhi/doctor/richa-chaturvedi-endocrinologist,,,2025-03-31 16:46:01,2025-03-31 16:46:01,,
DL020944,Gold Medal,,,India,National,https://www.practo.com/hyderabad/doctor/dr-shailender-singh-cardiologist-1,,,2025-04-01 14:20:38,2025-04-01 14:20:38,,
DL021636,,,,,,,,,,,,
DL021728,,,,,,,,,,,,
DL021941,,,,,,,,,,,,
DL022452,Gold Medal in MD Medicine,,,India,National,https://drdeepankarvatsa.com/about-us/,,,2025-06-17 09:59:13,2025-06-17 09:59:13,,
DL022452,The Sujoy B Roy Award for his innovative research in cardiology,"Cardiological Society of India, Delhi",2019.0,India,National,https://drdeepankarvatsa.com/about-us/,,,2025-06-17 09:59:13,2025-06-17 09:59:13,,
DL023226,,,,,,,,,,,,
DL023262,,,,,,,,,,,,
DL023378,,,,,,,,,,,,
DL023931,,,,,,,,,,,,
DL024274,,,,,,,,,,,,
DL024726,,,,,,,,,,,,
DL024727,,,,,,,,,,,,
DL024968,,,,,,,,,,,,
DL025085,Trainee Grant Award,Endocrine Society of India,2021.0,India,National,https://www.maxhealthcare.in/doctor/dr-shreya-sharma,,,2025-03-25 10:52:06,2025-03-25 10:52:06,,
DL025085,MMS Ahuja Award for best DM Endocrinology Resident,All India Institute Of Medical Sciences Delhi,,India,National,https://drshreyaendocrinologist.com/about,,,2025-06-17 09:51:08,2025-06-17 09:51:08,,
DL025085,Dr. MMS Ahuja Book Prize Award for Best DM Endocrinology Candidate,All India Institute Of Medical Sciences Delhi,2023.0,India,National,https://drshreyaendocrinologist.com/about,,,2025-06-17 09:51:08,2025-06-17 09:51:08,,
DL025085,1st Runner up - The Young Scholar Award,Endocrine Society of India,2022.0,India,National,https://drshreyaendocrinologist.com/about,,,2025-06-17 09:51:08,2025-06-17 09:51:08,,
DL025085,1st runner up in quiz competition,Endocrine Society Postgraduate Initiative in Research and Education,2022.0,India,National,https://drshreyaendocrinologist.com/about,,,2025-06-17 09:51:08,2025-06-17 09:51:08,,
DL025085,1st Runner Up in Poster Presentation,EndoUpdate,2022.0,India,National,https://drshreyaendocrinologist.com/about,,,2025-06-17 09:51:08,2025-06-17 09:51:08,,
DL025085,Awarded the ‘Certificate of Merit’ for being amongst the top 0.1% successful candidates with outstanding academic performance in Science and Technology,Central Board of Secondary Education,2004.0,India,National,https://drshreyaendocrinologist.com/about,,,2025-06-17 09:51:08,2025-06-17 09:51:08,,
DL025085,Awarded the Merit Scholarship during MBBS for the year,JRD Tata for excellence in Academics,2010.0,India,National,https://drshreyaendocrinologist.com/about,,,2025-06-17 09:51:08,2025-06-17 09:51:08,,
DL025085,Winner of 1st prize for “Primary Adrenal Insufficiency in Children. Importance of knowing the etiology”,All India Institute Of Medical Sciences Delhi,2018.0,India,National,https://drshreyaendocrinologist.com/about,,,2025-06-17 09:51:08,2025-06-17 09:51:08,,
DL025085,Won the Best Poster Award for “Role of Oral Cholecalciferol as an adjunctive therapy in Type 1 Diabetes Mellitus”,Nutrition Society of India,2015.0,India,National,https://drshreyaendocrinologist.com/about,,,2025-06-17 09:51:08,2025-06-17 09:51:08,,
DL025085,1st Runner up - The Young Scholar Award,Endocrine Society of India,2023.0,India,National,https://drshreyaendocrinologist.com/about,,,2025-06-17 09:51:08,2025-06-17 09:51:08,,
DL025519,,,,,,,,,,,,
DL025840,,,,,,,,,,,,
DL025894,,,,,,,,,,,,
DL025920,,,,,,,,,,,,
DL026130,,,,,,,,,,,,
DL026728,,,,,,,,,,,,
DL026868,,,,,,,,,,,,
DL026938,,,,,,,,,,,,
DL027238,,,,,,,,,,,,
DL027971,Gold Medal in MD,,2018.0,India,National,https://www.practo.com/new-delhi/doctor/dr-avinash-mani-cardiologist,,,2025-03-26 09:17:43,2025-03-26 09:17:43,,
DL027971,Gold Medallist,,2017.0,India,National,https://www.practo.com/new-delhi/doctor/dr-avinash-mani-cardiologist,,,2025-03-26 09:17:43,2025-03-26 09:17:43,,
DL028190,,,,,,,,,,,,
DL029421,,,,,,,,,,,,
DL030226,,,,,,,,,,,,
DL030227,,,,,,,,,,,,
DL030228,,,,,,,,,,,,
DL030236,,,,,,,,,,,,
DL030445,,,,,,,,,,,,
DL030447,,,,,,,,,,,,
DL030448,,,,,,,,,,,,
DL031698,,,,,,,,,,,,
DL033074,,,,,,,,,,,,
DL035796,,,,,,,,,,,,
DL487495,,,,,,,,,,,,
DL488610,,,,,,,,,,,,
DL497505,,,,,,,,,,,,
GA000034,,,,,,,,,,,,
GA000134,Gold Medal,Goa Medical College,2009.0,India,National,https://www.practo.com/north%20goa/doctor/vaibhav-dukle-endocrinologist/info?practice_id=1221263&specialization=Diabetologist&referrer=doctor_listing&page_uid=95e4fe23-9233-4282-b879-00c1a787b072,,,2025-04-02 13:44:53,2025-04-02 13:44:53,,
GA000134,Gold Medal,Goa Medical College,2013.0,India,National,https://www.practo.com/north%20goa/doctor/vaibhav-dukle-endocrinologist/info?practice_id=1221263&specialization=Diabetologist&referrer=doctor_listing&page_uid=95e4fe23-9233-4282-b879-00c1a787b072,,,2025-04-02 13:18:32,2025-04-02 13:18:32,,
GA000144,,,,,,,,,,,,
GA000338,,,,,,,,,,,,
GA000585,,,,,,,,,,,,
GA000644,,,,,,,,,,,,
GA000653,,,,,,,,,,,,
GA000680,,,,,,,,,,,,
GA000685,,,,,,,,,,,,
GA000768,,,,,,,,,,,,
GA001308,,,,,,,,,,,,
GA001379,,,,,,,,,,,,
GA001496,,,,,,,,,,,,
GA001656,,,,,,,,,,,,
GJ000113,,,,,,,,,,,,
GJ000181,,,,,,,,,,,,
GJ000875,,,,,,,,,,,,
GJ001263,,,,,,,,,,,,
GJ001867,,,,,,,,,,,,
GJ001913,The Best Medical Tourism Center Award,,,India,National,https://www.nirujahealthtech.com/dr-nilesh-kathiriya-cardiology/,,,2025-03-24 11:10:12,2025-03-24 11:10:12,,
GJ001913,Times Health Icon Award,,2019.0,India,National,https://www.nirujahealthtech.com/dr-nilesh-kathiriya-cardiology/,,,2025-03-24 11:10:12,2025-03-24 11:10:12,,
GJ001969,,,,,,,,,,,,
GJ001986,Dr G.B.Mankad Gold Medal,,,India,National,https://drchirayuvyas.com/meet-the-doctor,,,2025-03-21 18:15:44,2025-03-21 18:15:44,,
GJ001986,Miss S.C Pandya Gold Medal,,,India,National,https://drchirayuvyas.com/meet-the-doctor,,,2025-03-21 18:15:44,2025-03-21 18:15:44,,
GJ001986,Sheth Chimanlal Lalbhai Gold Medal,,,India,National,https://drchirayuvyas.com/meet-the-doctor,,,2025-03-21 18:15:44,2025-03-21 18:15:44,,
GJ001986,Shri N.R Motwani Gold Medal,,,India,National,https://drchirayuvyas.com/meet-the-doctor,,,2025-03-21 18:15:44,2025-03-21 18:15:44,,
GJ002064,,,,,,,,,,,,
GJ002369,,,,,,,,,,,,
GJ002479,,,,,,,,,,,,
GJ002599,,,,,,,,,,,,
GJ002802,,,,,,,,,,,,
GJ002894,,,,,,,,,,,,
GJ003188,,,,,,,,,,,,
GJ003849,,,,,,,,,,,,
GJ003953,,,,,,,,,,,,
GJ003955,,,,,,,,,,,,
GJ003957,,,,,,,,,,,,
GJ004079,,,,,,,,,,,,
GJ004091,,,,,,,,,,,,
GJ004336,,,,,,,,,,,,
GJ004364,,,,,,,,,,,,
GJ004365,,,,,,,,,,,,
GJ004368,,,,,,,,,,,,
GJ004670,,,,,,,,,,,,
GJ004779,,,,,,,,,,,,
GJ004893,,,,,,,,,,,,
GJ005204,Gold Medal in DNB Cardiology,,,India,National,"https://zydushospitals.com/doctor/anand/dr-rutvik-trivedi#:~:text=Professional%20Bio%3A,DNB%20in%20Cardiology%20from%20U.%20N.",,,2025-03-31 16:07:11,2025-03-31 16:07:11,,
GJ005207,,,,,,,,,,,,
GJ005298,,,,,,,,,,,,
GJ005801,,,,,,,,,,,,
GJ006107,,,,,,,,,,,,
GJ006112,,,,,,,,,,,,
GJ007404,,,,,,,,,,,,
GJ008146,,,,,,,,,,,,
GJ009098,,,,,,,,,,,,
GJ009249,,,,,,,,,,,,
GJ009563,,,,,,,,,,,,
GJ009582,,,,,,,,,,,,
GJ009595,,,,,,,,,,,,
GJ009604,,,,,,,,,,,,
GJ009615,,,,,,,,,,,,
GJ009672,,,,,,,,,,,,
GJ009950,,,,,,,,,,,,
GJ009954,,,,,,,,,,,,
GJ009959,,,,,,,,,,,,
GJ009983,,,,,,,,,,,,
GJ010130,,,,,,,,,,,,
GJ010160,,,,,,,,,,,,
GJ010175,,,,,,,,,,,,
GJ010225,,,,,,,,,,,,
GJ010235,,,,,,,,,,,,
GJ010310,,,,,,,,,,,,
GJ010311,,,,,,,,,,,,
GJ010313,,,,,,,,,,,,
GJ010327,,,,,,,,,,,,
GJ010357,,,,,,,,,,,,
GJ010411,,,,,,,,,,,,
GJ010423,Consultant of the Year,Apollo Hospitals,2008.0,India,National,https://www.practo.com/ahmedabad/doctor/ramesh-goyal-endocrinologist,,,2025-04-15 15:33:48,2025-04-15 15:33:48,,
GJ010451,,,,,,,,,,,,
GJ010468,,,,,,,,,,,,
GJ010471,,,,,,,,,,,,
GJ010476,,,,,,,,,,,,
GJ010477,,,,,,,,,,,,
GJ010479,,,,,,,,,,,,
GJ010482,,,,,,,,,,,,
GJ010484,,,,,,,,,,,,
GJ010500,,,,,,,,,,,,
GJ010510,,,,,,,,,,,,
GJ010574,,,,,,,,,,,,
GJ010598,,,,,,,,,,,,
GJ010646,Three Gold Medal,,2015.0,India,National,https://www.practo.com/ahmedabad/doctor/sunil-n-gurmukhani-cardiologist,,,2025-04-08 15:35:38,2025-04-08 15:35:38,,
GJ010687,,,,,,,,,,,,
GJ010771,,,,,,,,,,,,
GJ010833,,,,,,,,,,,,
GJ010844,,,,,,,,,,,,
GJ011025,,,,,,,,,,,,
GJ011059,,,,,,,,,,,,
GJ011107,,,,,,,,,,,,
GJ011124,,,,,,,,,,,,
GJ011230,,,,,,,,,,,,
GJ011301,Best Interventional Case Award,Asia Pacific,2010.0,South Korea,International,https://www.practo.com/ahmedabad/doctor/dr-jayesh-prajapati-1-cardiologist,,,2025-04-12 11:32:48,2025-04-12 11:32:48,,
GJ011353,,,,,,,,,,,,
GJ011419,,,,,,,,,,,,
GJ011480,Gold Medal in Pharmacology,Hospital Charles Nicolle Rouen,,India,National,https://www.hcghospitals.in/doctors/dr-bhupesh-r-shah/,,,2025-04-05 12:16:56,2025-04-05 12:16:56,,
GJ011480,Times Health Icon Award,,2019.0,India,National,https://www.nirujahealthtech.com/dr-bhupesh-r-shah-cardiologist/,,,2025-04-05 12:16:56,2025-04-05 12:16:56,,
GJ011537,,,,,,,,,,,,
GJ011538,,,,,,,,,,,,
GJ011552,,,,,,,,,,,,
GJ011618,,,,,,,,,,,,
GJ011723,,,,,,,,,,,,
GJ011748,,,,,,,,,,,,
GJ011834,,,,,,,,,,,,
GJ011963,,,,,,,,,,,,
GJ011985,,,,,,,,,,,,
GJ012031,,,,,,,,,,,,
GJ012074,,,,,,,,,,,,
GJ012187,,,,,,,,,,,,
GJ012223,,,,,,,,,,,,
GJ012261,,,,,,,,,,,,
GJ012700,,,,,,,,,,,,
GJ012785,,,,,,,,,,,,
GJ012884,,,,,,,,,,,,
GJ012935,,,,,,,,,,,,
GJ012992,,,,,,,,,,,,
GJ013107,,,,,,,,,,,,
GJ013176,,,,,,,,,,,,
GJ013332,,,,,,,,,,,,
GJ013607,,,,,,,,,,,,
GJ015127,,,,,,,,,,,,
GJ015561,,,,,,,,,,,,
GJ015668,,,,,,,,,,,,
GJ015815,,,,,,,,,,,,
GJ015816,,,,,,,,,,,,
GJ015927,,,,,,,,,,,,
GJ016085,,,,,,,,,,,,
GJ016607,,,,,,,,,,,,
GJ016838,,,,,,,,,,,,
GJ016938,,,,,,,,,,,,
GJ017711,,,,,,,,,,,,
GJ018106,,,,,,,,,,,,
GJ018321,,,,,,,,,,,,
GJ019274,,,,,,,,,,,,
GJ019319,,,,,,,,,,,,
GJ019518,,,,,,,,,,,,
GJ019590,,,,,,,,,,,,
GJ019772,,,,,,,,,,,,
GJ019802,,,,,,,,,,,,
GJ020058,Best Endocrinologist in Ahmedabad,,,India,National,https://drravishahendo.com/,,,2025-03-26 13:27:42,2025-03-26 13:27:42,,
GJ020058,ESI SD Bhandarkar Runners-up Award,,2023.0,India,National,https://drravishahendo.com/,,,2025-03-26 13:27:42,2025-03-26 13:27:42,,
GJ020128,,,,,,,,,,,,
GJ020142,,,,,,,,,,,,
GJ020181,"Dr. G. M. Cherian Gold Medal for ""Best Outgoing Student in DM Cardiology""",,2014.0,India,National,https://drtejaspatel.com/about-me/,,,2025-06-17 09:50:15,2025-06-17 09:50:15,,
GJ020181,Selected for zonal round (among top 10) in Torrent Young Scholar Award competition during both MD (Mumbai),,2009.0,India,National,https://drtejaspatel.com/about-me/,,,2025-06-17 09:50:15,2025-06-17 09:50:15,,
GJ020181,Selected for zonal round (among top 10) in Torrent Young Scholar Award competition during both DM (Bangalore),,2013.0,India,National,https://drtejaspatel.com/about-me/,,,2025-06-17 09:50:15,2025-06-17 09:50:15,,
GJ020181,2nd in university in M.D. Medicine exam,,2009.0,India,National,https://drtejaspatel.com/about-me/,,,2025-06-17 09:50:15,2025-06-17 09:50:15,,
GJ020373,,,,,,,,,,,,
GJ020394,,,,,,,,,,,,
GJ020425,,,,,,,,,,,,
GJ020431,,,,,,,,,,,,
GJ020445,,,,,,,,,,,,
GJ020954,,,,,,,,,,,,
GJ020962,,,,,,,,,,,,
GJ021344,,,,,,,,,,,,
GJ021749,,,,,,,,,,,,
GJ021759,,,,,,,,,,,,
GJ022987,,,,,,,,,,,,
GJ023168,,,,,,,,,,,,
GJ023347,,,,,,,,,,,,
GJ023384,,,,,,,,,,,,
GJ023417,,,,,,,,,,,,
GJ023505,,,,,,,,,,,,
GJ023648,,,,,,,,,,,,
GJ023695,,,,,,,,,,,,
GJ023751,,,,,,,,,,,,
GJ023873,,,,,,,,,,,,
GJ023904,,,,,,,,,,,,
GJ024032,,,,,,,,,,,,
GJ024159,,,,,,,,,,,,
GJ024164,,,,,,,,,,,,
GJ024291,,,,,,,,,,,,
GJ024403,,,,,,,,,,,,
GJ024483,,,,,,,,,,,,
GJ024930,,,,,,,,,,,,
GJ025353,,,,,,,,,,,,
GJ025665,,,,,,,,,,,,
GJ025840,,,,,,,,,,,,
GJ026280,,,,,,,,,,,,
GJ026338,,,,,,,,,,,,
GJ026340,,,,,,,,,,,,
GJ026345,,,,,,,,,,,,
GJ487482,,,,,,,,,,,,
GJ489446,Gold Medal in Medicine,,2011.0,India,National,https://www.practo.com/surat/doctor/sandip-patel,,,2025-03-29 10:13:41,2025-03-29 10:13:41,,
GJ492636,,,,,,,,,,,,
GJ494494,,,,,,,,,,,,
HP000313,,,,,,,,,,,,
HP000386,,,,,,,,,,,,
HP000493,,,,,,,,,,,,
HP000607,,,,,,,,,,,,
HP000765,,,,,,,,,,,,
HP000806,,,,,,,,,,,,
HP001009,,,,,,,,,,,,
HP001019,,,,,,,,,,,,
HP001054,,,,,,,,,,,,
HP001056,,,,,,,,,,,,
HP001061,,,,,,,,,,,,
HP001115,,,,,,,,,,,,
HP001116,,,,,,,,,,,,
HP001127,,,,,,,,,,,,
HP001139,,,,,,,,,,,,
HP001167,,,,,,,,,,,,
HP001168,,,,,,,,,,,,
HP001190,,,,,,,,,,,,
HP001264,,,,,,,,,,,,
HP001720,,,,,,,,,,,,
HP001727,,,,,,,,,,,,
HP002138,,,,,,,,,,,,
HP002257,,,,,,,,,,,,
HP002405,,,,,,,,,,,,
HP002612,,,,,,,,,,,,
HP002623,,,,,,,,,,,,
HP002796,,,,,,,,,,,,
HP002961,,,,,,,,,,,,
HP002968,,,,,,,,,,,,
HP002969,,,,,,,,,,,,
HP002992,,,,,,,,,,,,
HP003326,,,,,,,,,,,,
HP020700,,,,,,,,,,,,
HR000113,Rashtriya Ratan Award,,2006.0,,National,https://geetanjalihospitalhisar.com/dr-kamal-kishore/,,,2025-03-20 09:14:37,2025-03-20 09:14:37,,
HR000118,Bharat Vikas Samman Award,,2017.0,India,National,https://www.sukhdahospitalhisar.com/dr-amit-mehta56.html,,,2025-03-19 13:10:14,2025-03-19 13:10:14,,
HR000118,Vikas Ratan Gold Award,,2002.0,India,National,https://www.sukhdahospitalhisar.com/dr-amit-mehta56.html,,,2025-03-19 13:10:16,2025-03-19 13:10:16,,
HR001306,,,,,,,,,,,,
HR001380,,,,,,,,,,,,
HR001470,,,,,,,,,,,,
HR001484,,,,,,,,,,,,
HR002071,,,,,,,,,,,,
HR002331,,,,,,,,,,,,
HR002485,,,,,,,,,,,,
HR002681,,,,,,,,,,,,
HR002821,,,,,,,,,,,,
HR002869,,,,,,,,,,,,
HR002920,,,,,,,,,,,,
HR003076,,,,,,,,,,,,
HR003087,,,,,,,,,,,,
HR003100,14 ESI A V Gandhi Award,,2015.0,India,National,https://www.practo.com/gurgaon/doctor/dr-ashutosh-goyal-diabetologist,,,2025-03-26 14:15:18,2025-03-26 14:15:18,,
HR003171,Padma Shri,,,India,National,https://drbalbirsinghcardio.com/,,,2025-04-01 13:36:57,2025-04-01 13:36:57,,
HR003193,,,,,,,,,,,,
HR003204,,,,,,,,,,,,
HR003248,,,,,,,,,,,,
HR003492,,,,,,,,,,,,
HR003916,,,,,,,,,,,,
HR004342,,,,,,,,,,,,
HR004747,AE-PCOS Best Paper Presentation Award,,,India,National,https://www.practo.com/gurgaon/doctor/dr-shafi-kuchay-endocrinologist,,,2025-03-29 16:52:03,2025-03-29 16:52:03,,
HR004950,,,,,,,,,,,,
HR004954,NN Gupta Gold Medalist,,1993.0,India,National,https://www.practo.com/faridabad/doctor/dr-rishi-gupta-cardiologist,,,2025-03-31 10:35:01,2025-03-31 10:35:01,,
HR004974,,,,,,,,,,,,
HR005011,,,,,,,,,,,,
HR005024,,,,,,,,,,,,
HR005025,,,,,,,,,,,,
HR005042,,,,,,,,,,,,
HR005098,,,,,,,,,,,,
HR005304,,,,,,,,,,,,
HR005315,,,,,,,,,,,,
HR005332,,,,,,,,,,,,
HR005412,,,,,,,,,,,,
HR005423,,,,,,,,,,,,
HR005494,,,,,,,,,,,,
HR005505,,,,,,,,,,,,
HR005596,,,,,,,,,,,,
HR005655,,,,,,,,,,,,
HR005730,,,,,,,,,,,,
HR006000,,,,,,,,,,,,
HR006040,,,,,,,,,,,,
HR006146,,,,,,,,,,,,
HR006149,,,,,,,,,,,,
HR006246,,,,,,,,,,,,
HR006306,,,,,,,,,,,,
HR006350,,,,,,,,,,,,
HR006494,,,,,,,,,,,,
HR006508,Dr Naveen C Nanda Young Investigator Award,Cardiological Society of India,2010.0,India,National,https://www.drbharatkukreti.com/cardiologist-in-gurugram.php,,,2025-04-04 10:19:41,2025-04-04 10:19:41,,
HR006508,Dr. Sujoy B Roy Award For Best Research in Clinical Cardiology,Delhi Cardiological Society of India,2011.0,India,National,https://www.drbharatkukreti.com/cardiologist-in-gurugram.php,,,2025-04-04 10:19:41,2025-04-04 10:19:41,,
HR006514,Fellow Award,,2014.0,India,National,https://www.practo.com/gurgaon/doctor/dr-vinayak-aggarwal-cardiologist,,,2025-04-07 09:14:13,2025-04-07 09:14:13,,
HR006514,Fellow Award,,2013.0,India,National,https://www.practo.com/gurgaon/doctor/dr-vinayak-aggarwal-cardiologist,,,2025-04-07 09:28:47,2025-04-07 09:28:47,,
HR006520,,,,,,,,,,,,
HR006521,Best Thesis In Internal Medicine,,2007.0,India,National,https://www.practo.com/gurgaon/doctor/sanjat-chiwane-cardiologist,,,2025-04-01 13:28:15,2025-04-01 13:28:15,,
HR006523,,,,,,,,,,,,
HR006559,,,,,,,,,,,,
HR006625,,,,,,,,,,,,
HR006630,,,,,,,,,,,,
HR006851,AV Gandhi Award,,2011.0,,National,https://www.noormedicare.com/doctor/dr-parjeet-kaur,,,2025-03-24 09:32:28,2025-03-24 09:32:28,,
HR006851,Golden Aim Women Healthcare Leader Award,,2022.0,,National,https://ghealth121.com/doctors/dr-parjeet-kaur/,,,2025-03-24 09:50:04,2025-03-24 09:50:04,,
HR006851,MMS Ahuja Award,,2011.0,,National,https://ghealth121.com/doctors/dr-parjeet-kaur/,,,2025-03-24 09:07:34,2025-03-24 09:07:34,,
HR006851,Silver Medal ISBMR,,2018.0,,National,https://ghealth121.com/doctors/dr-parjeet-kaur/,,,2025-03-24 09:47:31,2025-03-24 09:47:31,,
HR006894,,,,,,,,,,,,
HR007530,,,,,,,,,,,,
HR007531,,,,,,,,,,,,
HR007597,University Topper Award,,2017.0,India,National,https://www.practo.com/sonipat/doctor/dr-ankur-batra-cardiologist1,,,2025-03-25 13:11:44,2025-03-25 13:11:44,,
HR007619,,,,,,,,,,,,
HR007747,,,,,,,,,,,,
HR007756,,,,,,,,,,,,
HR008250,,,,,,,,,,,,
HR008303,,,,,,,,,,,,
HR008384,,,,,,,,,,,,
HR008508,,,,,,,,,,,,
HR008845,,,,,,,,,,,,
HR009307,,,,,,,,,,,,
HR010096,,,,,,,,,,,,
HR010670,,,,,,,,,,,,
HR010798,,,,,,,,,,,,
HR011236,Best Cardiologist in Hisar,,,India,National,https://sarveshhealthcity.com/dr-abhishek-gupta/,,,2025-06-17 09:43:32,2025-06-17 09:43:32,,
HR011329,,,,,,,,,,,,
HR011502,,,,,,,,,,,,
HR011593,,,,,,,,,,,,
HR011634,,,,,,,,,,,,
HR011647,,,,,,,,,,,,
HR011697,,,,,,,,,,,,
HR012044,,,,,,,,,,,,
HR012255,,,,,,,,,,,,
HR012470,,,,,,,,,,,,
HR012548,,,,,,,,,,,,
HR012770,,,,,,,,,,,,
HR012913,,,,,,,,,,,,
HR012953,,,,,,,,,,,,
HR012956,,,,,,,,,,,,
HR012999,,,,,,,,,,,,
HR013115,,,,,,,,,,,,
HR014026,,,,,,,,,,,,
HR014377,,,,,,,,,,,,
HR014483,,,,,,,,,,,,
HR019116,,,,,,,,,,,,
HR021042,,,,,,,,,,,,
HR021530,,,,,,,,,,,,
HR036474,,,,,,,,,,,,
HR487010,,,,,,,,,,,,
HR487653,,,,,,,,,,,,
HR495714,,,,,,,,,,,,
JH000858,National Met Day Award,,,India,National,https://www.docindia.org/doctors/bokaro/dr-satish-kumar-cardiology,,,2025-03-20 16:48:33,2025-03-20 16:48:33,,
JH000989,,,,,,,,,,,,
JH001152,,,,,,,,,,,,
JH001948,,,,,,,,,,,,
JH002916,AV Gandhi Award,,2013.0,India,National,https://www.practo.com/ranchi/doctor/dr-ankit-shrivastav-endocrinologist,,,2025-04-10 12:29:36,2025-04-10 12:29:36,,
JH002916,National Scholarship Award,,1998.0,India,National,https://www.practo.com/ranchi/doctor/dr-ankit-shrivastav-endocrinologist,,,2025-04-10 12:33:15,2025-04-10 12:33:15,,
JH002916,Second prize,,2012.0,India,National,https://www.practo.com/ranchi/doctor/dr-ankit-shrivastav-endocrinologist,,,2025-04-10 12:47:50,2025-04-10 12:47:50,,
JH002916,Travel Grant,,2012.0,India,National,https://www.practo.com/ranchi/doctor/dr-ankit-shrivastav-endocrinologist,,,2025-04-10 12:09:25,2025-04-10 12:09:25,,
JH002971,,,,,,,,,,,,
JH003165,,,,,,,,,,,,
JH003295,,,,,,,,,,,,
JH003375,,,,,,,,,,,,
JH004414,,,,,,,,,,,,
JH004834,,,,,,,,,,,,
JH004916,,,,,,,,,,,,
JH005100,,,,,,,,,,,,
JH005161,,,,,,,,,,,,
JH005321,,,,,,,,,,,,
JH005342,,,,,,,,,,,,
JH005421,,,,,,,,,,,,
JH005424,,,,,,,,,,,,
JH005984,,,,,,,,,,,,
JH006682,,,,,,,,,,,,
JH008007,,,,,,,,,,,,
JH008109,,,,,,,,,,,,
JH008144,,,,,,,,,,,,
JH008350,,,,,,,,,,,,
JH008499,,,,,,,,,,,,
JH008708,Selected For Oral Paper Presentation,,2016.0,India,National,https://www.practo.com/ranchi/doctor/rajesh-kumar-jha-cardiologist,,,2025-04-07 14:33:13,2025-04-07 14:33:13,,
JH008792,,,,,,,,,,,,
JH009114,,,,,,,,,,,,
JH009629,,,,,,,,,,,,
JH010269,,,,,,,,,,,,
JH010470,,,,,,,,,,,,
JH011852,,,,,,,,,,,,
JH012062,,,,,,,,,,,,
JH012111,,,,,,,,,,,,
JH012227,,,,,,,,,,,,
JH012322,,,,,,,,,,,,
JH012651,,,,,,,,,,,,
JH012692,,,,,,,,,,,,
JH012881,,,,,,,,,,,,
JH013070,,,,,,,,,,,,
JH013156,,,,,,,,,,,,
JH013676,,,,,,,,,,,,
JH013886,,,,,,,,,,,,
JH013887,,,,,,,,,,,,
JH025652,,,,,,,,,,,,
JH030257,,,,,,,,,,,,
JK000046,,,,,,,,,,,,
JK000497,,,,,,,,,,,,
JK000690,,,,,,,,,,,,
JK000709,,,,,,,,,,,,
JK001097,,,,,,,,,,,,
JK001199,,,,,,,,,,,,
JK001453,,,,,,,,,,,,
JK001478,,,,,,,,,,,,
JK001814,,,,,,,,,,,,
JK002161,,,,,,,,,,,,
JK002257,,,,,,,,,,,,
JK002342,,,,,,,,,,,,
JK002407,,,,,,,,,,,,
JK002752,,,,,,,,,,,,
JK003290,,,,,,,,,,,,
JK003403,,,,,,,,,,,,
JK003417,,,,,,,,,,,,
JK003471,,,,,,,,,,,,
JK003533,,,,,,,,,,,,
JK003579,,,,,,,,,,,,
JK003855,,,,,,,,,,,,
JK003933,,,,,,,,,,,,
JK003957,,,,,,,,,,,,
JK003980,,,,,,,,,,,,
JK003982,,,,,,,,,,,,
JK003986,,,,,,,,,,,,
JK003994,,,,,,,,,,,,
JK004076,,,,,,,,,,,,
JK004128,,,,,,,,,,,,
JK004166,,,,,,,,,,,,
JK004223,,,,,,,,,,,,
JK004286,,,,,,,,,,,,
JK004399,,,,,,,,,,,,
JK005191,,,,,,,,,,,,
JK005972,,,,,,,,,,,,
JK006147,,,,,,,,,,,,
JK007486,,,,,,,,,,,,
JK007711,,,,,,,,,,,,
JK007783,,,,,,,,,,,,
JK007995,,,,,,,,,,,,
JK008280,,,,,,,,,,,,
JK008299,,,,,,,,,,,,
JK008563,,,,,,,,,,,,
JK008650,,,,,,,,,,,,
JK008663,,,,,,,,,,,,
JK008681,,,,,,,,,,,,
JK008696,,,,,,,,,,,,
JK009040,,,,,,,,,,,,
JK009072,,,,,,,,,,,,
JK009307,,,,,,,,,,,,
JK009310,,,,,,,,,,,,
KA000055,,,,,,,,,,,,
KA000069,,,,,,,,,,,,
KA000170,,,,,,,,,,,,
KA000172,,,,,,,,,,,,
KA000199,,,,,,,,,,,,
KA000202,,,,,,,,,,,,
KA000321,,,,,,,,,,,,
KA000381,,,,,,,,,,,,
KA000406,,,,,,,,,,,,
KA000447,,,,,,,,,,,,
KA000493,,,,,,,,,,,,
KA000526,,,,,,,,,,,,
KA000695,,,,,,,,,,,,
KA000843,,,,,,,,,,,,
KA001002,,,,,,,,,,,,
KA002611,,,,,,,,,,,,
KA002895,,,,,,,,,,,,
KA002925,,,,,,,,,,,,
KA002963,The Achievers of Karnataka Award,Times Healthcare,2019.0,India,National,https://www.facebook.com/venugramhospital/posts/dr-ramesh-deshpande-consultant-physician-and-managing-director-at-venugram-hospi/1307060089457033/,,,2025-03-22 17:41:30,2025-03-22 17:41:30,,
