uin,award_name,awarded_by,award_year,award_country,award_level,award_source_url_1,award_source_url_2,award_source_url_3,award_processed_date_timestamp,award_inserted_date_timestamp,award_updated_timestamp,award_delete_flag_timestamp
AP015941,Gold Medal,Andhra Medical College,1992.0,India,National,https://www.practo.com/hyderabad/doctor/dr-sumeet-sinha-cardiologist,,,2025-04-05 09:15:28,2025-04-05 09:15:28,,
AP016225,,,,,,,,,,,,
AP016295,,,,,,,,,,,,
AP017254,University Topper in Cardiology,,2014.0,India,National,https://www.practo.com/hyderabad/doctor/dr-s-bala-kishore-cardiologist,,,2025-04-01 10:35:01,2025-04-01 10:35:01,,
AP017254,University Topper in General Medicine,,2010.0,India,National,https://www.practo.com/hyderabad/doctor/dr-s-bala-kishore-cardiologist,,,2025-04-01 10:35:01,2025-04-01 10:35:01,,
AP017537,,,,,,,,,,,,
AP017558,,,,,,,,,,,,
AP017715,,,,,,,,,,,,
AP017764,,,,,,,,,,,,
AP017822,,,,,,,,,,,,
AP017840,Best Resident Award,N R I Medical College And General Hospital,2010.0,India,National,https://www.drvsrbhupal.creativemaxstudios.co.in/dr-v-s-r-bhupal.html,,,2025-04-04 09:13:25,2025-04-04 09:13:25,,
AP017840,Stood 1st In Psychiatry Quiz,Indian Academy of Pediatrics in Andhra Pradesh,2007.0,India,National,https://www.drvsrbhupal.creativemaxstudios.co.in/dr-v-s-r-bhupal.html,,,2025-04-04 09:13:25,2025-04-04 09:13:25,,
AP017840,Stood 2nd In State Quiz,Indian Academy of Pediatrics in Andhra Pradesh,2007.0,India,National,https://www.drvsrbhupal.creativemaxstudios.co.in/dr-v-s-r-bhupal.html,,,2025-04-04 09:13:25,2025-04-04 09:13:25,,
AP017840,Stood University 2nd in General medicine,,2012.0,India,National,https://www.drvsrbhupal.creativemaxstudios.co.in/dr-v-s-r-bhupal.html,,,2025-04-04 09:13:25,2025-04-04 09:13:25,,
AP017840,Stood University 3rd in General Medicine,Association of Physicians of India,2012.0,India,National,https://www.drvsrbhupal.creativemaxstudios.co.in/dr-v-s-r-bhupal.html,,,2025-04-04 09:13:25,2025-04-04 09:13:25,,
AP017840,Sweccha Bharathi Award,,,India,National,https://www.drvsrbhupal.creativemaxstudios.co.in/dr-v-s-r-bhupal.html,,,2025-04-04 09:13:25,2025-04-04 09:13:25,,
AP017840,University Gold Medallist in MBBS,,2006.0,India,National,https://www.drvsrbhupal.creativemaxstudios.co.in/dr-v-s-r-bhupal.html,,,2025-04-04 09:13:25,2025-04-04 09:13:25,,
AP018142,Gold Medallist,,,India,National,https://www.medicoverhospitals.in/doctors/dr-pranav-pallempati,,,2025-03-28 12:51:19,2025-03-28 12:51:19,,
AP018145,,,,,,,,,,,,
AP018288,,,,,,,,,,,,
AP018392,,,,,,,,,,,,
AP018406,,,,,,,,,,,,
AP018440,,,,,,,,,,,,
AP018458,,,,,,,,,,,,
AP018625,,,,,,,,,,,,
AP018705,,,,,,,,,,,,
AP018713,,,,,,,,,,,,
AP018717,Service Excellence in Internal Medicine Times Health Excellence Awards,Service Excellence Award in Intensive Care & Internal Medicine,,India,National,https://www.skedoc.com/hyderabad/doctor/dr-ahmed-mohiuddin-general-physician,,,2025-03-17 10:11:21,2025-03-17 10:11:21,,
AP018895,,,,,,,,,,,,
AP018976,,,,,,,,,,,,
AP018991,,,,,,,,,,,,
AP019013,,,,,,,,,,,,
AP019084,,,,,,,,,,,,
AP019088,,,,,,,,,,,,
AP019213,,,,,,,,,,,,
AP019255,,,,,,,,,,,,
AP019344,,,,,,,,,,,,
AP019375,Best Paper Award,,2013.0,India,National,https://www.practo.com/hyderabad/doctor/dr-sri-nagesh-1-endocrinologist,,,2025-04-05 10:10:25,2025-04-05 10:10:25,,
AP019375,Dr. Y.R. Reddy Gold Medal,,2007.0,India,National,https://www.practo.com/hyderabad/doctor/dr-sri-nagesh-1-endocrinologist,,,2025-04-05 10:10:25,2025-04-05 10:10:25,,
AP019375,Fellow Award,,2014.0,India,National,https://www.practo.com/hyderabad/doctor/dr-sri-nagesh-1-endocrinologist,,,2025-04-05 10:10:25,2025-04-05 10:10:25,,
AP019375,Fellow Award,,2013.0,India,National,https://www.practo.com/hyderabad/doctor/dr-sri-nagesh-1-endocrinologist,,,2025-04-05 10:10:25,2025-04-05 10:10:25,,
AP019375,Fellow Award,,2012.0,India,National,https://www.practo.com/hyderabad/doctor/dr-sri-nagesh-1-endocrinologist,,,2025-04-05 10:10:25,2025-04-05 10:10:25,,
AP019375,S.V. Rao And M.M. Swamy Medal,,2007.0,India,National,https://www.practo.com/hyderabad/doctor/dr-sri-nagesh-1-endocrinologist,,,2025-04-05 10:10:25,2025-04-05 10:10:25,,
AP019385,,,,,,,,,,,,
AP019388,,,,,,,,,,,,
AP019396,,,,,,,,,,,,
AP019403,,,,,,,,,,,,
AP019407,,,,,,,,,,,,
AP019428,,,,,,,,,,,,
AP019470,,,,,,,,,,,,
AP019603,,,,,,,,,,,,
AP019604,,,,,,,,,,,,
AP019611,,,,,,,,,,,,
AP019775,,,,,,,,,,,,
AP019791,Rashitya Nirman Ratan Gold Medal,,2019.0,,National,https://www.practo.com/hyderabad/doctor/mohammed-riyaz-endocrinologist,,,2025-03-22 12:49:26,2025-03-22 12:49:26,,
AP019791,Star of Asia Award,,2017.0,,National,https://www.practo.com/hyderabad/doctor/mohammed-riyaz-endocrinologist,,,2025-03-22 12:24:28,2025-03-22 12:24:28,,
AP019791,Vaidhyashree Award,,2016.0,,National,https://www.practo.com/hyderabad/doctor/mohammed-riyaz-endocrinologist,,,2025-03-22 12:47:03,2025-03-22 12:47:03,,
AP019791,Vaidya Ratna Award,,2017.0,,National,https://www.practo.com/hyderabad/doctor/mohammed-riyaz-endocrinologist,,,2025-03-22 12:38:21,2025-03-22 12:38:21,,
AP019941,,,,,,,,,,,,
AP019988,,,,,,,,,,,,
AP019991,,,,,,,,,,,,
AP020080,,,,,,,,,,,,
AP020098,,,,,,,,,,,,
AP020109,"Bharat Jyoti Award for Outstanding, Services, Performance and Contribution",,2003.0,India,National,https://www.apollohospitals.com/region/vizag/dr-baruah-d-k/,,,2025-03-22 09:27:13,2025-03-22 09:27:13,,
AP020109,Sri Krishna Gold Medal,,2000.0,India,National,https://www.apollohospitals.com/region/vizag/dr-baruah-d-k/,,,2025-03-22 09:27:13,2025-03-22 09:27:13,,
AP020113,,,,,,,,,,,,
AP020229,,,,,,,,,,,,
AP020241,,,,,,,,,,,,
AP020292,,,,,,,,,,,,
AP020294,,,,,,,,,,,,
AP020304,,,,,,,,,,,,
AP020312,,,,,,,,,,,,
AP020354,,,,,,,,,,,,
AP020377,,,,,,,,,,,,
AP020383,,,,,,,,,,,,
AP020411,,,,,,,,,,,,
AP020471,,,,,,,,,,,,
AP020478,,,,,,,,,,,,
AP020500,,,,,,,,,,,,
AP020599,Best Teacher Award,,,India,National,https://www.asterhospitals.in/doctors/ramesh-hospitals-main-center-ramesh-hospitals-mg-road/dr-p-bhaskara-naidu,,,2025-04-04 14:37:28,2025-04-04 14:37:28,,
AP020600,,,,,,,,,,,,
AP020618,,,,,,,,,,,,
AP020883,,,,,,,,,,,,
AP020887,,,,,,,,,,,,
AP020910,,,,,,,,,,,,
AP020912,,,,,,,,,,,,
AP021047,,,,,,,,,,,,
AP021077,,,,,,,,,,,,
AP021084,,,,,,,,,,,,
AP021168,,,,,,,,,,,,
AP021206,,,,,,,,,,,,
AP021216,,,,,,,,,,,,
AP021288,Fellowship Award,Indian College of Cardiology,,India,National,https://www.practo.com/hyderabad/doctor/dr-badri-narayana-cardiologist,,,2025-03-29 17:56:53,2025-03-29 17:56:53,,
AP021310,,,,,,,,,,,,
AP021330,,,,,,,,,,,,
AP021358,,,,,,,,,,,,
AP021533,,,,,,,,,,,,
AP021538,Gold Medal,,1978.0,India,National,https://www.practo.com/hyderabad/doctor/dr-tripti-deb-cardiologist-1,,,2025-04-02 11:33:31,2025-04-02 11:33:31,,
AP021538,Silver Medal,,1981.0,India,National,https://www.practo.com/hyderabad/doctor/dr-tripti-deb-cardiologist-1,,,2025-04-02 11:06:13,2025-04-02 11:06:13,,
AP021558,,,,,,,,,,,,
AP021607,,,,,,,,,,,,
AP021673,,,,,,,,,,,,
AP021674,,,,,,,,,,,,
AP021687,,,,,,,,,,,,
AP021794,,,,,,,,,,,,
AP021836,,,,,,,,,,,,
AP021884,,,,,,,,,,,,
AP021895,,,,,,,,,,,,
AP021916,,,,,,,,,,,,
AP021949,,,,,,,,,,,,
AP022023,,,,,,,,,,,,
AP022062,,,,,,,,,,,,
AP022067,,,,,,,,,,,,
AP022158,Academic Brilliance Award,Education-Expo,2013.0,India,National,https://www.practo.com/hyderabad/doctor/dr-dilip-gude-internal-medicine,,,2025-03-19 10:06:31,2025-03-19 10:06:31,,
AP022158,Best Doctor Award,,2017.0,India,National,https://www.yashodahospitals.com/doctor/somajiguda/general-medicine/dr-dilip-gude/,,,2025-03-19 10:04:02,2025-03-19 10:04:02,,
AP022158,Diabetes Care Excellence Award,Research Society for the Study of Diabetes in India,2019.0,India,National,https://www.yashodahospitals.com/doctor/somajiguda/general-medicine/dr-dilip-gude/,,,2025-03-19 10:03:25,2025-03-19 10:03:25,,
AP022158,Excellence Award,International Healthcare,2017.0,India,International,https://www.yashodahospitals.com/doctor/somajiguda/general-medicine/dr-dilip-gude/,,,2025-03-19 10:05:05,2025-03-19 10:05:05,,
AP022158,Medgate Today India Healthcare Award,Medgate Today India Healthcare,2017.0,India,National,https://www.yashodahospitals.com/doctor/somajiguda/general-medicine/dr-dilip-gude/,,,2025-03-19 10:05:12,2025-03-19 10:05:12,,
AP022158,Scholarship for Internal Medicine Award,Bbraun Medical Trust,2012.0,India,National,https://www.practo.com/hyderabad/doctor/dr-dilip-gude-internal-medicine,,,2025-03-19 10:06:56,2025-03-19 10:06:56,,
AP022158,Times of India Young Achiever Award,Times of India,2017.0,India,National,https://www.yashodahospitals.com/doctor/somajiguda/general-medicine/dr-dilip-gude/,,,2025-03-19 10:05:35,2025-03-19 10:05:35,,
AP022158,Times of India Young Achiever Award,Times of India,2016.0,India,National,https://www.yashodahospitals.com/doctor/somajiguda/general-medicine/dr-dilip-gude/,,,2025-03-19 10:05:57,2025-03-19 10:05:57,,
AP022158,Visishta Puraskar/Vaidya Ratna Award,Ministry of India,,India,National,https://www.yashodahospitals.com/doctor/somajiguda/general-medicine/dr-dilip-gude/,,,2025-03-19 10:07:22,2025-03-19 10:07:22,,
AP022159,,,,,,,,,,,,
AP022164,,,,,,,,,,,,
AP022179,,,,,,,,,,,,
AP022222,,,,,,,,,,,,
AP022324,,,,,,,,,,,,
AP022333,,,,,,,,,,,,
AP022346,,,,,,,,,,,,
AP022360,,,,,,,,,,,,
AP022368,,,,,,,,,,,,
AP022369,,,,,,,,,,,,
AP022438,,,,,,,,,,,,
AP022472,,,,,,,,,,,,
AP022495,,,,,,,,,,,,
AP022497,,,,,,,,,,,,
AP022539,,,,,,,,,,,,
AP022546,,,,,,,,,,,,
AP022599,,,,,,,,,,,,
AP022744,,,,,,,,,,,,
AP022877,,,,,,,,,,,,
AP022885,,,,,,,,,,,,
AP022895,,,,,,,,,,,,
AP022984,,,,,,,,,,,,
AP023078,38 Publications in the Peer reviewed Journals,,,India,National,https://www.practo.com/hyderabad/doctor/dr-ravi-kumar-aluri-cardiologist,,,2025-03-31 10:59:20,2025-03-31 10:59:20,,
AP023078,Best Scientific Paper Award in CSI,,,India,National,https://www.practo.com/hyderabad/doctor/dr-ravi-kumar-aluri-cardiologist,,,2025-03-31 10:42:59,2025-03-31 10:42:59,,
AP023078,Higher Education Award,,1997.0,India,National,https://www.practo.com/hyderabad/doctor/dr-ravi-kumar-aluri-cardiologist,,,2025-03-31 10:58:24,2025-03-31 10:58:24,,
AP023078,"Invited as an International guest faculty at CCT-Japan, CIT-China, ASIA PCR-Singapore",,,India,International,https://www.practo.com/hyderabad/doctor/dr-ravi-kumar-aluri-cardiologist,,,2025-03-31 10:32:13,2025-03-31 10:32:13,,
AP023078,National Merit Scholar Award,,,India,National,https://www.practo.com/hyderabad/doctor/dr-ravi-kumar-aluri-cardiologist,,,2025-03-31 10:13:10,2025-03-31 10:13:10,,
AP023078,Presented many interesting cases in various international conferences,,,India,International,https://www.practo.com/hyderabad/doctor/dr-ravi-kumar-aluri-cardiologist,,,2025-03-31 10:16:29,2025-03-31 10:16:29,,
AP023266,,,,,,,,,,,,
AP023286,,,,,,,,,,,,
AP023403,,,,,,,,,,,,
AP023404,,,,,,,,,,,,
AP023423,,,,,,,,,,,,
AP023424,National Award in Diabetes Awareness,,,India,National,https://www.facebook.com/HALTDiabetesIndia/videos/565050424418474/,,,2025-03-24 13:25:02,2025-03-24 13:25:02,,
AP023638,,,,,,,,,,,,
AP024087,,,,,,,,,,,,
AP024192,,,,,,,,,,,,
AP024390,,,,,,,,,,,,
AP024501,,,,,,,,,,,,
AP024540,,,,,,,,,,,,
AP024802,,,,,,,,,,,,
AP024824,,,,,,,,,,,,
AP024849,,,,,,,,,,,,
AP024936,,,,,,,,,,,,
AP025028,,,,,,,,,,,,
AP025264,,,,,,,,,,,,
AP025280,,,,,,,,,,,,
AP025293,,,,,,,,,,,,
AP025425,,,,,,,,,,,,
AP025694,,,,,,,,,,,,
AP025771,,,,,,,,,,,,
AP025772,,,,,,,,,,,,
AP026370,,,,,,,,,,,,
AP027309,,,,,,,,,,,,
AP027730,,,,,,,,,,,,
AP028168,,,,,,,,,,,,
AP028190,,,,,,,,,,,,
AP028196,,,,,,,,,,,,
AP028229,,,,,,,,,,,,
AP028412,,,,,,,,,,,,
AP028416,,,,,,,,,,,,
AP028440,,,,,,,,,,,,
AP028524,,,,,,,,,,,,
AP028729,,,,,,,,,,,,
AP028731,,,,,,,,,,,,
AP028859,,,,,,,,,,,,
