uin,acd_institute_name,acd_institute_type,acd_department,acd_position,acd_city,acd_state,acd_country,acd_postal_code,acd_tenure_from_date,acd_tenure_to_date,acd_association_level,acd_source_url1,acd_source_url2,acd_source_url3,acd_processed_date_timestamp,acd_inserted_date_timestamp,acd_updated_timestamp,acd_delete_flag_timestamp
AP007932,Sri Jayadeva Institute of Cardiovascular Sciences & Research,Academic,Department of Cardiology ,Associate Professor,Bengaluru,Karnataka,India,560041.0,2009.0,2015.0,National,https://www.practo.com/bangalore/doctor/kapil-rangan-cardiologist?practice_id=689040&referrer=establishment_profile,,,2025-03-28 13:58:15,2025-03-28 13:58:15,,
AP008240,,,,,,,,,,,,,,,,,,
AP008362,,,,,,,,,,,,,,,,,,
AP009680,,,,,,,,,,,,,,,,,,
AP010080,,,,,,,,,,,,,,,,,,
AP010166,,,,,,,,,,,,,,,,,,
AP010442,,,,,,,,,,,,,,,,,,
AP010450,,,,,,,,,,,,,,,,,,
AP010603,,,,,,,,,,,,,,,,,,
AP010934,,,,,,,,,,,,,,,,,,
AP011087,,,,,,,,,,,,,,,,,,
AP011237,,,,,,,,,,,,,,,,,,
AP011262,,,,,,,,,,,,,,,,,,
AP011263,,,,,,,,,,,,,,,,,,
AP011282,,,,,,,,,,,,,,,,,,
AP011406,,,,,,,,,,,,,,,,,,
AP011487,SV Medical college,Academic,Department of Cardiology,Associate Professor,Tirupati,Andhra Pradesh,India,517507.0,1997.0,2000.0,National,https://www.skedoc.com/visakhapatnam/doctor/dr-damodara-rao-kodem-cardiologist,,,2025-03-24 13:52:23,2025-03-24 13:52:23,,
AP011487,Andhra Medical College,Academic,Department of Cardiology,Assistant Professor,Visakhapatnam,Andhra Pradesh,India,530002.0,1992.0,1997.0,National,https://www.skedoc.com/visakhapatnam/doctor/dr-damodara-rao-kodem-cardiologist,,,2025-03-24 13:52:23,2025-03-24 13:52:23,,
AP011523,,,,,,,,,,,,,,,,,,
AP011671,,,,,,,,,,,,,,,,,,
AP011685,,,,,,,,,,,,,,,,,,
AP011727,,,,,,,,,,,,,,,,,,
AP012025,,,,,,,,,,,,,,,,,,
AP012048,,,,,,,,,,,,,,,,,,
AP012050,,,,,,,,,,,,,,,,,,
AP012236,,,,,,,,,,,,,,,,,,
AP012303,Narayana Medical College,Academic,,Professor,Nellore,Andhra Pradesh,India,524003.0,2013.0,2016.0,National,https://www.practo.com/visakhapatnam/doctor/dr-k-dileep-kumar-endocrinologist,,,2025-04-14 10:35:08,2025-04-14 10:35:08,,
AP012303,King George's Medical University,Academic,,Professor,Visakhapatnam,Andhra Pradesh,India,530002.0,2007.0,2013.0,National,https://www.practo.com/visakhapatnam/doctor/dr-k-dileep-kumar-endocrinologist,,,2025-04-14 10:06:22,2025-04-14 10:06:22,,
AP012303,Andhra Medical College,Academic,,Professor,Visakhapatnam,Andhra Pradesh,India,530002.0,2000.0,2012.0,National,https://www.practo.com/visakhapatnam/doctor/dr-k-dileep-kumar-endocrinologist,,,2025-04-14 10:34:34,2025-04-14 10:34:34,,
AP012380,,,,,,,,,,,,,,,,,,
AP012586,,,,,,,,,,,,,,,,,,
AP012587,,,,,,,,,,,,,,,,,,
AP012843,,,,,,,,,,,,,,,,,,
AP012902,,,,,,,,,,,,,,,,,,
AP012910,,,,,,,,,,,,,,,,,,
AP012957,,,,,,,,,,,,,,,,,,
AP013014,,,,,,,,,,,,,,,,,,
AP013125,,,,,,,,,,,,,,,,,,
AP013147,,,,,,,,,,,,,,,,,,
AP013170,,,,,,,,,,,,,,,,,,
AP013176,,,,,,,,,,,,,,,,,,
AP013356,,,,,,,,,,,,,,,,,,
AP013371,Sri Venkateswara Institute of Medical Sciences,Academic,,Assistant Professor,Tirupati,Andhra Pradesh,India,517507.0,,,National,https://www.linkedin.com/in/r-n-mahesh-maddala-56545291/,,,2025-04-03 18:16:25,2025-04-03 18:16:25,,
AP013743,,,,,,,,,,,,,,,,,,
AP014900,,,,,,,,,,,,,,,,,,
AP015049,,,,,,,,,,,,,,,,,,
AP015050,,,,,,,,,,,,,,,,,,
AP015141,,,,,,,,,,,,,,,,,,
AP015493,,,,,,,,,,,,,,,,,,
AP015725,,,,,,,,,,,,,,,,,,
AP015890,,,,,,,,,,,,,,,,,,
AP015941,,,,,,,,,,,,,,,,,,
AP016225,,,,,,,,,,,,,,,,,,
AP016295,,,,,,,,,,,,,,,,,,
AP017254,,,,,,,,,,,,,,,,,,
AP017537,Assam Medical College,Academic,Department of Cardiology,Assistant professor,Eluru,Andhra Pradesh,India,786002.0,,,National,https://www.linkedin.com/in/niranjan-reddy-27aa7645/,,,2025-03-28 13:15:47,2025-03-28 13:15:47,,
AP017537,Narayan Medical College and Hospital,Academic,Department of Cardiology,Assistant professor,Nellore,Andhra Pradesh,India,524003.0,,,National,https://www.linkedin.com/in/niranjan-reddy-27aa7645/,,,2025-03-28 13:15:47,2025-03-28 13:15:47,,
AP017558,,,,,,,,,,,,,,,,,,
AP017715,,,,,,,,,,,,,,,,,,
AP017764,,,,,,,,,,,,,,,,,,
AP017822,,,,,,,,,,,,,,,,,,
AP017840,Dr Pinnamaneni Siddhartha Institute of Medical Sciences and Research Foundation,Academic,Department of Cardiology,Associate Professor,Peda Avutapalli,Andhra Pradesh,India,521286.0,2017.0,,National,https://www.drvsrbhupal.creativemaxstudios.co.in/dr-v-s-r-bhupal.html,,,2025-04-04 09:09:50,2025-04-04 09:09:50,,
AP017840,N R I Medical College and General Hospital,Academic,Department of General Medicine,Assistant Professor,Mangalagiri,Andhra Pradesh,India,522503.0,2012.0,2013.0,National,https://www.drvsrbhupal.creativemaxstudios.co.in/dr-v-s-r-bhupal.html,,,2025-04-04 09:09:50,2025-04-04 09:09:50,,
AP018142,,,,,,,,,,,,,,,,,,
AP018145,,,,,,,,,,,,,,,,,,
AP018288,,,,,,,,,,,,,,,,,,
AP018392,,,,,,,,,,,,,,,,,,
AP018406,,,,,,,,,,,,,,,,,,
AP018440,,,,,,,,,,,,,,,,,,
AP018458,,,,,,,,,,,,,,,,,,
AP018625,,,,,,,,,,,,,,,,,,
AP018705,,,,,,,,,,,,,,,,,,
AP018713,,,,,,,,,,,,,,,,,,
AP018717,,,,,,,,,,,,,,,,,,
AP018895,,,,,,,,,,,,,,,,,,
AP018976,,,,,,,,,,,,,,,,,,
AP018991,,,,,,,,,,,,,,,,,,
AP019013,,,,,,,,,,,,,,,,,,
AP019084,,,,,,,,,,,,,,,,,,
AP019088,,,,,,,,,,,,,,,,,,
AP019213,,,,,,,,,,,,,,,,,,
AP019255,,,,,,,,,,,,,,,,,,
AP019344,,,,,,,,,,,,,,,,,,
AP019375,,,,,,,,,,,,,,,,,,
AP019385,,,,,,,,,,,,,,,,,,
AP019388,,,,,,,,,,,,,,,,,,
AP019396,,,,,,,,,,,,,,,,,,
AP019403,,,,,,,,,,,,,,,,,,
AP019407,,,,,,,,,,,,,,,,,,
AP019428,,,,,,,,,,,,,,,,,,
