Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AP012303,"February, 2025",33.30%,100.00%,,,,,
AP012319,"February, 2025",,100.00%,,,,,
AP012358,"February, 2025",33.30%,100.00%,,,,,
AP012380,"February, 2025",100.00%,100.00%,,,,,
AP012449,"February, 2025",,100.00%,,,,,
AP012455,"February, 2025",,100.00%,,,,,
AP012519,"February, 2025",100.00%,,,,,,
AP012582,"February, 2025",,100.00%,,,,,
AP012812,"February, 2025",,100.00%,,,,,
AP012843,"February, 2025",,100.00%,,,,,
AP012888,"February, 2025",,100.00%,,,,,
AP012913,"February, 2025",,100.00%,,,,,
AP012976,"February, 2025",,100.00%,,,,,
AP012978,"February, 2025",100.00%,50.00%,,,,,
AP013018,"February, 2025",,100.00%,,,,,
AP013023,"February, 2025",,16.67%,,,,,
AP013038,"February, 2025",,100.00%,,,,,
AP013057,"February, 2025",100.00%,25.00%,,25.00%,,,
AP013064,"February, 2025",,100.00%,,,,,
AP013102,"February, 2025",100.00%,100.00%,,,,,
AP013110,"February, 2025",,100.00%,,,,,
AP013123,"February, 2025",,100.00%,,,,,
AP013176,"February, 2025",100.00%,,,,,,
AP013200,"February, 2025",33.30%,100.00%,,,,,
AP013204,"February, 2025",,100.00%,,,,,
AP013227,"February, 2025",,100.00%,,,,,
AP013347,"February, 2025",100.00%,100.00%,,,,,
AP013350,"February, 2025",,75.00%,,,,,
AP013370,"February, 2025",40.00%,,,,,,
AP013371,"February, 2025",60.00%,,,,,,
AP013378,"February, 2025",,100.00%,,,,,
AP013435,"February, 2025",80.00%,100.00%,,,,,
AP013453,"February, 2025",,100.00%,,,,,
AP013505,"February, 2025",,100.00%,,,,,
AP013689,"February, 2025",100.00%,,,,,,
AP013760,"February, 2025",100.00%,100.00%,,,,,
AP013867,"February, 2025",,100.00%,,,,,
AP013958,"February, 2025",,100.00%,,,,,
AP014134,"February, 2025",,100.00%,,,,,
AP014209,"February, 2025",,100.00%,,,,,
AP014657,"February, 2025",100.00%,100.00%,,,,,
AP014827,"February, 2025",,100.00%,,,,,
AP015109,"February, 2025",100.00%,,,,,,
AP015468,"February, 2025",,100.00%,,,,,
AP015670,"February, 2025",80.00%,100.00%,,,,,
AP015725,"February, 2025",60.00%,100.00%,,,,,
AP015728,"February, 2025",40.00%,100.00%,,,,,
AP015817,"February, 2025",100.00%,,,,,,
AP015890,"February, 2025",,33.33%,,,,,
AP015981,"February, 2025",,100.00%,,,,,
AP016307,"February, 2025",33.30%,100.00%,,33.33%,,,
AP016337,"February, 2025",60.00%,100.00%,,,,,
AP016384,"February, 2025",,100.00%,,,,,
AP016526,"February, 2025",,100.00%,,,,,
AP016548,"February, 2025",33.30%,100.00%,,,,,
AP017130,"February, 2025",100.00%,100.00%,,,,,
AP017168,"February, 2025",,100.00%,,,,,
AP017200,"February, 2025",100.00%,100.00%,,,,,
AP017346,"February, 2025",100.00%,100.00%,,,,,
AP017558,"February, 2025",80.00%,,,,,,
AP017677,"February, 2025",,25.00%,,,,,
AP017706,"February, 2025",100.00%,100.00%,,,,,
AP017715,"February, 2025",40.00%,100.00%,,,,,
AP017932,"February, 2025",80.00%,100.00%,,,,,
AP018127,"February, 2025",60.00%,,,,,,
AP018145,"February, 2025",,100.00%,,33.33%,,,
AP018188,"February, 2025",100.00%,,,,,,
AP018221,"February, 2025",,100.00%,,,,,
AP018255,"February, 2025",66.70%,66.67%,,,,,
AP018273,"February, 2025",100.00%,,,,,,
AP018298,"February, 2025",100.00%,100.00%,,,,,
AP018338,"February, 2025",,20.00%,,,,,
AP018345,"February, 2025",,100.00%,,,,,
AP018387,"February, 2025",,50.00%,,,,,
AP018393,"February, 2025",,100.00%,,,,,
AP018403,"February, 2025",100.00%,,,,,,
AP018440,"February, 2025",100.00%,,,,,,
AP018509,"February, 2025",60.00%,,,,,,
AP018609,"February, 2025",,100.00%,,,,,
AP018659,"February, 2025",100.00%,,,,,,
AP018702,"February, 2025",,100.00%,,,,,
AP018703,"February, 2025",,100.00%,,,,,
AP018707,"February, 2025",100.00%,100.00%,,,,,
AP018720,"February, 2025",60.00%,,,,,,
AP018724,"February, 2025",,100.00%,,,,,
AP018734,"February, 2025",60.00%,,,,,,
AP018758,"February, 2025",100.00%,100.00%,,,,,
AP018904,"February, 2025",,100.00%,,,,,
AP018906,"February, 2025",,100.00%,,,,,
AP018936,"February, 2025",40.00%,,,,,,
AP019084,"February, 2025",60.00%,,,,,,
