UIN,event_name,event_topic,event_keywords,event_type,event_role,event_start_date,event_end_date,event_other_participants,other_participants_role,event_sponsor,event_location,event_city,event_country,event_link,event_processed_timestamp,event_inserted_timestamp,event_updated_timestamp,event_processed_date,event_inserted_date,event_updated_date,event_delete_flag_timestamp,event_processed_date timestamp,event_inserted_date timestamp
MH057698,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Patient Prosthesis Mismatch after TAVR,Cardiology,Conference,Speaker,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Live Case 1 & 2 : TAVI,Transcatheter Aortic Valve Implantation,Conference,Panellist,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,"TAVI : Expanding indications, pre and post assessment",Transcatheter Aortic Valve Implantation,Conference,Speaker,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,"Live Case 16 : Sir H N Reliance Foundation Hospital and Research Centre, Mumbai",Cardiology,Conference,Speaker,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,Vascular Closure Device,Interventional Cardiology,Conference,Speaker,2025-03-20,2025-03-23,,,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,Protecting Coronaries in Valve in Valve TAVI,Transcatheter Aortic Valve Implantation,Conference,Speaker,2025-03-20,2025-03-23,,,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,TEER + LAA Closure: Clips & Plugs,Interventional Cardiology,Conference,Chair,2025-03-20,2025-03-23,,,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2025 India Live Cardiology Conference of Interventional Cardiology Foundation of India,Live in Box 43,Interventional Cardiology,Conference,Speaker,2025-03-20,2025-03-23,,,Interventional Cardiology Foundation of India,Jio World Convention Centre,Mumbai,India,https://indialiveintcardiology.com/Brochure/Scientific_Agenda_India_Live_2025.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2024 Coronary Intervention Imaging Structural Programme Conference,Thrombus Aspiration Catheters,Coronary Intervention,Conference,Speaker,2024-10-18,2024-10-20,,,,Aurika Hotels & Resorts,Mumbai,India,https://crispcon.in/CRISP-2024_Brochure.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2024 Coronary Intervention Imaging Structural Programme Conference,Small annulus and large annulus - Two ends of a spectrum - Case-based discussions,Coronary Intervention,Conference,Speaker,2024-10-18,2024-10-20,,,,Aurika Hotels & Resorts,Mumbai,India,https://crispcon.in/CRISP-2024_Brochure.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2024 Coronary Intervention Imaging Structural Programme Conference,TAVI +,Transcatheter Aortic Valve Implantation,Conference,Speaker,2024-10-18,2024-10-20,,,,Aurika Hotels & Resorts,Mumbai,India,https://crispcon.in/CRISP-2024_Brochure.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2024 Coronary Intervention Imaging Structural Programme Conference,TAVI++,Transcatheter Aortic Valve Implantation,Conference,Chair,2024-10-18,2024-10-20,,,,Aurika Hotels & Resorts,Mumbai,India,https://crispcon.in/CRISP-2024_Brochure.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2023 India Live Cardiology Conference,Session 2: Mitral TEER,Cardiology,Conference,Moderator,2023-03-15,2023-03-18,"Pramod Mundra, G S Wander, Anoop Gupta, Sanjay Rajdev, Sudeb Mukherjee, Dhiman Kahali",Moderator,,Hotel ITC Grand Chola,Chennai,India,https://promeetings.live/Indialive2023/index5.php#tg-schedule,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2021 Annual National Conference of the Indian Academy of Echocardiography,TAVR,Cardiology,Conference,Speaker,2021-10-29,2021-10-31,,,Indian Academy of Echocardiography,Webicon,Bengaluru,India,https://iaecho.in/downloads/ECHOINDIA-2021-Program-Booklet.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2025 Structural Heart Summit,Discussion on Heart,Heart Disease,Summit,Speaker,2025-04-01,2025-04-01,,,Sir H N Reliance Foundation Hospital,,Mumbai,India,https://shsmumbai.com/thank_you.php,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH057698,2023 Annual International Scientific Conference of the Bangladesh Society of Cardiovascular Intervention,Predictors of TAVI Success and Failure: Imaging and Technical Considerations,Chronic Total Occlusion,Conference,Speaker,2023-03-08,2023-03-10,,,Bangladesh Society of Cardiovascular Intervention,,Dhaka,Bangladesh,https://bd-intervantion-2023.com/files/BD-INTERVENTION-2023-AGENDA%2005-03-2023%20Event.pdf,10:59,10:59,,2025-05-10,2025-05-10,,,2025-05-10 10:59:19,2025-05-10 10:59:19
MH058231,"2024 National Conference on Cardiology, Diabetology, ECG, Echo & Critical Care",GUT Microbiome and its clinical implications,Cardiology,Conference,Chair,2024-10-26,2024-10-27,"C C Chaubal, Sanjay Kumar, Manish Jain, Vijan Rai",Chair,,Kushabhau Thakre International Convention Center,Bhopal,India,https://cdeecon.com/Scientific%20Programme%20CD%202024.pdf,11:21,11:21,,2025-05-08,2025-05-08,,,2025-05-08 11:21:27,2025-05-08 11:21:27
